rho,seed,T,modulator_correct_a,modulator_correct_b,modulator_correct_both,M_source0_a,M_source2_a,M_source0_b,M_source2_b,err_g123_a,err_g123_b,err_g145_a,err_g145_b,err_g123,err_g145,gap_g123,gap_g145,r_eff_x3_x5,elapsed_seconds
0.99,3042,25000,0,0,0,[1],"[1, 3]",[1],"[1, 3]",0.28297144174575806,0.3081517517566681,0.17875586450099945,0.7834118604660034,0.2955615967512131,0.48108386248350143,0.026272568851709366,0.6170470118522644,1.5689596189799822,121.2761664390564
0.99,4042,25000,0,0,0,[1],"[1, 3]",[],"[1, 3]",0.3251638114452362,0.7621841430664062,0.17204909026622772,0.07408098131418228,0.5436739772558212,0.123065035790205,0.4374096989631653,0.11164434254169464,1.543791572225611,114.99472832679749
0.99,5042,25000,0,1,0,[],"[1, 3]",[1],[3],0.7590850591659546,0.32275229692459106,0.07452194392681122,0.1634596586227417,0.5409186780452728,0.11899080127477646,0.4368574917316437,0.10526140034198761,1.5549569722815089,115.53582072257996
0.99,6042,25000,0,0,0,[1],"[1, 3]",[1],"[0, 3]",0.32009249925613403,0.27071356773376465,0.16528257727622986,0.5498641729354858,0.29540303349494934,0.35757337510585785,0.0501529686152935,0.38912463188171387,1.5414163011132411,114.94711446762085
0.99,7042,25000,0,0,0,[1],"[0, 1, 3]",[1],"[0, 3]",0.28555935621261597,0.32728326320648193,0.6084407567977905,0.5988419055938721,0.30642130970954895,0.6036413311958313,0.04215991497039795,0.03636021167039871,1.5478300914094543,114.39444065093994
0.99,8042,25000,0,0,0,[1],"[1, 3]",[1],"[1, 3]",0.30839675664901733,0.30835628509521484,0.17164857685565948,0.18754635751247406,0.3083765208721161,0.17959746718406677,0.005466923583298922,0.021325716748833656,1.556125178492198,114.21647787094116
0.99,9042,25000,0,1,0,[1],"[1, 3]",[1],[3],0.2793801426887512,0.2884597182273865,0.13043566048145294,0.23355698585510254,0.28391993045806885,0.18199632316827774,0.010066389106214046,0.11125659942626953,1.5526564499829554,113.95098066329956
1.0,42,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[1, 3]",0.327559232711792,0.3834734857082367,0.1466144323348999,0.20646189153194427,0.35551635921001434,0.1765381619334221,0.06062246114015579,0.0781438946723938,1.539234012836893,114.28571796417236
1.0,1042,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[1, 3]",0.37750038504600525,0.38585105538368225,0.19873516261577606,0.1685720533132553,0.38167572021484375,0.18365360796451569,0.022393539547920227,0.04060342162847519,1.5446240998646308,115.79495882987976
1.0,2042,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[1, 3]",0.3792022168636322,0.3628953993320465,0.17220140993595123,0.21155552566051483,0.37104880809783936,0.19187846779823303,0.021050458773970604,0.04305713251233101,1.5304249812305817,115.24546217918396
1.0,3042,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[0, 3]",0.35519298911094666,0.390415757894516,0.21070538461208344,0.5053796768188477,0.3728043735027313,0.35804253071546555,0.04124918952584267,0.32009226083755493,1.5536329123862052,120.92365980148315
1.0,4042,25000,0,0,0,"[1, 3]","[1, 3]",[],"[1, 3]",0.4120648503303528,0.757333517074585,0.1964443475008011,0.1316019892692566,0.5846991837024689,0.16402316838502884,0.3608483374118805,0.10344476997852325,1.5293996681223216,129.89303827285767
1.0,5042,25000,0,0,0,[],"[1, 3]",[],"[1, 3]",0.7534360289573669,0.7533208727836609,0.12417703121900558,0.09794829785823822,0.7533784508705139,0.1110626645386219,0.004875866696238518,0.038157179951667786,1.539508537641848,131.54651856422424
1.0,6042,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[0, 3]",0.3783107399940491,0.341235488653183,0.18235182762145996,0.5327922105789185,0.35977311432361603,0.3575720191001892,0.04119092598557472,0.3650275766849518,1.5262388691810023,129.9022922515869
1.0,7042,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[0, 1, 3]",0.368356853723526,0.4129418730735779,0.21017983555793762,0.5820810198783875,0.39064936339855194,0.39613042771816254,0.05265017971396446,0.3947468400001526,1.5328346598303948,120.60435700416565
1.0,8042,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[1, 3]",0.3924352824687958,0.38205140829086304,0.19182553887367249,0.21051903069019318,0.3872433453798294,0.20117228478193283,0.03209042549133301,0.027987409383058548,1.5399796540222277,127.2340669631958
1.0,9042,25000,0,0,0,"[1, 3]","[1, 3]","[1, 3]","[1, 3]",0.33263278007507324,0.37374773621559143,0.1469074934720993,0.24389730393886566,0.35319025814533234,0.19540239870548248,0.04605814442038536,0.11062077432870865,1.5374207419889951,128.16665482521057
